# META: {"workflow_id": 9, "user_id": 33, "num_abstract": 50, "connector_pattern": "1000100100010000000100110111010100011110001011000", "abstract_services": {"a_0": 122, "a_1": 102, "a_2": 117, "a_3": 107, "a_4": 90, "a_5": 90, "a_6": 98, "a_7": 123, "a_8": 113, "a_9": 91, "a_10": 108, "a_11": 118, "a_12": 98, "a_13": 102, "a_14": 117, "a_15": 106, "a_16": 115, "a_17": 123, "a_18": 123, "a_19": 108, "a_20": 107, "a_21": 120, "a_22": 98, "a_23": 104, "a_24": 91, "a_25": 93, "a_26": 120, "a_27": 110, "a_28": 100, "a_29": 107, "a_30": 114, "a_31": 93, "a_32": 112, "a_33": 116, "a_34": 93, "a_35": 92, "a_36": 101, "a_37": 90, "a_38": 112, "a_39": 98, "a_40": 101, "a_41": 113, "a_42": 102, "a_43": 116, "a_44": 104, "a_45": 108, "a_46": 108, "a_47": 104, "a_48": 89, "a_49": 101}, "total_latency": 6.237, "total_throughput": 1.675}
abstract_service,concrete_service,latency,throughput
a_8,3902,0.256,417.968
a_8,820,0.809,7.416
a_8,4754,0.135,303.703
a_8,2690,0.184,27.173
a_8,252,0.163,42.944
a_8,1343,0.442,9.049
a_8,5121,3.323,209.148
a_8,1395,0.838,16.706
a_8,2919,0.354,8.474
a_8,3562,0.064,46.875
a_8,5002,0.309,9.708
a_8,1814,0.367,10.899
a_8,224,0.185,37.837
a_8,1575,0.366,109.289
a_8,1812,0.372,10.752
a_8,3190,0.59,5.084
a_8,1170,0.779,10.269
a_8,1737,0.145,213.793
a_8,5197,0.291,6.872
a_8,2953,0.188,15.957
a_8,4860,0.142,21.126
a_8,1970,0.38,5.263
a_8,1228,0.254,35.433
a_8,2681,0.249,144.578
a_8,1029,0.254,11.811
a_8,4027,0.144,13.888
a_8,4352,0.124,16.129
a_8,2461,0.147,20.408
a_8,3673,0.497,6.036
a_8,3613,1.104,2.717
a_8,4061,0.66,4.545
a_8,730,1.516,1.319
a_8,2247,0.394,5.076
a_8,2818,0.167,29.94
a_8,4486,0.107,37.383
a_8,1644,0.137,36.496
a_8,5678,0.173,583.815
a_8,3188,0.215,13.953
a_8,1110,0.466,8.583
a_8,1662,0.139,35.971
a_8,3258,0.89,5.617
a_8,5777,0.099,40.404
a_8,5203,0.681,7.342
a_8,1324,0.144,20.833
a_8,1308,0.516,3.875
a_8,5586,0.413,4.842
a_8,4250,0.137,29.197
a_8,244,0.138,50.724
a_8,4146,0.037,81.081
a_8,356,0.22,31.818
a_8,2768,0.169,29.585
a_8,3213,0.233,17.167
a_8,492,0.202,44.554
a_8,1987,1.159,9.49
a_8,3770,0.067,44.776
a_8,962,0.222,157.657
a_8,2701,0.164,24.39
a_8,5104,0.04,75.0
a_8,548,0.769,512.353
a_8,342,0.132,53.03
a_8,4851,0.15,20.0
a_8,5488,0.483,16.563
a_8,5115,0.13,15.384
a_8,828,0.834,3.597
a_8,2308,0.476,6.302
a_8,194,1.68,18.452
a_8,4695,0.09,111.111
a_8,774,0.482,6.224
a_8,2776,0.19,26.315
a_8,3335,0.126,87.301
a_8,2169,0.368,8.152
a_8,4296,0.177,231.638
a_8,4514,0.066,303.03
a_8,4430,0.149,26.845
a_8,3429,0.173,17.341
a_8,2395,0.125,24.0
a_8,4607,0.85,2.352
a_8,4965,1.575,1.904
a_8,2106,0.364,8.241
a_8,1528,1.293,2.32
a_8,83,0.779,3.851
a_8,764,0.664,4.518
a_8,301,0.138,65.217
a_8,611,0.312,22.435
a_8,679,0.958,2.087
a_8,1836,0.404,7.425
a_8,3880,0.23,17.391
a_8,3202,0.219,13.698
a_9,89,0.177,16.949
a_9,1880,0.618,3.236
a_9,1141,0.308,6.493
a_9,3130,0.416,14.423
a_9,4190,0.144,76.388
a_9,5037,0.157,19.108
a_9,5575,0.296,23.648
a_9,3167,0.593,26.981
a_9,4306,0.278,147.482
a_9,4609,0.142,63.38
a_9,1192,0.291,10.309
a_9,4365,0.068,44.117
a_9,1659,0.174,28.735
a_9,4576,0.191,445.026
a_9,3981,0.124,32.258
a_9,377,0.21,33.333
a_9,2245,0.594,3.367
a_9,158,0.372,333.333
a_9,4836,0.165,12.121
a_9,5530,0.178,39.325
a_9,2896,0.176,181.818
a_9,4269,0.126,15.873
a_9,4613,0.267,52.434
a_9,1660,0.145,34.482
a_9,5603,0.165,30.303
a_9,4849,0.089,33.707
a_9,1421,0.512,5.859
a_9,3763,0.018,166.666
a_9,625,0.488,8.196
a_9,1207,0.371,8.086
a_9,4222,0.07,28.571
a_9,5693,0.201,502.487
a_9,1562,0.915,27.322
a_9,4960,0.592,6.756
a_9,5172,0.339,11.799
a_9,1134,0.122,16.393
a_9,5082,0.072,27.777
a_9,5546,0.169,41.42
a_9,4793,0.09,22.222
a_9,4538,1.797,69.003
a_9,4769,0.13,15.384
a_9,4618,0.08,50.0
a_9,558,0.091,21.978
a_9,525,0.316,9.493
a_9,1972,0.207,9.661
a_9,203,0.578,3.46
a_9,1982,0.44,18.181
a_9,5295,0.118,42.372
a_9,1102,0.155,19.354
a_9,3739,0.068,44.117
a_9,999,0.546,5.494
a_9,2780,0.168,23.809
a_9,162,0.264,11.363
a_9,5481,0.154,58.441
a_9,1489,0.69,255.072
a_9,3370,0.069,463.768
a_9,2754,0.159,25.157
a_9,2373,0.232,34.482
a_9,5236,0.295,47.457
a_9,2112,0.326,12.269
a_9,709,0.815,6.134
a_9,4475,0.133,22.556
a_9,3504,0.189,15.873
a_9,4933,0.068,29.411
a_9,300,0.506,17.786
a_9,3495,0.153,19.607
a_9,5765,0.1,20.0
a_9,2041,4.452,0.673
a_9,1396,0.368,73.369
a_9,4452,0.065,46.153
a_9,2374,0.24,33.333
a_9,2825,0.174,28.735
a_9,5555,0.385,31.168
a_9,2699,0.165,30.303
a_9,86,0.884,3.393
a_9,1994,0.269,11.152
a_9,4841,0.158,18.987
a_9,3603,0.086,34.883
a_9,1708,0.181,729.281
a_9,4202,0.084,107.142
a_9,3140,0.469,8.528
a_9,5323,0.189,10.582
a_9,2794,0.175,28.571
a_9,3142,0.317,6.309
a_9,2882,0.158,6.329
a_9,1841,0.35,11.428
a_9,3985,0.043,116.279
a_9,1357,0.595,11.764
a_9,1229,0.243,32.921
a_9,3053,0.605,6.611
a_9,793,0.558,10.752
a_10,972,0.905,89.502
a_10,3624,0.109,27.522
a_10,1596,1.119,33.065
a_10,1246,0.137,21.897
a_10,668,0.504,7.936
a_10,3206,0.23,13.043
a_10,4510,0.223,8.968
a_10,3541,0.045,66.666
a_10,1799,0.358,5.586
a_10,2064,0.521,5.758
a_10,4648,0.314,9.554
a_10,5250,0.434,52.995
a_10,1323,0.151,26.49
a_10,3947,0.102,19.607
a_10,3076,0.325,12.307
a_10,576,0.071,42.253
a_10,2638,0.224,267.857
a_10,3828,0.126,7.936
a_10,2463,0.493,6.085
a_10,5159,0.258,15.503
a_10,3126,0.931,3.222
a_10,1274,0.647,109.737
a_10,5822,0.152,26.315
a_10,2674,0.575,5.217
a_10,2364,1.092,4.578
a_10,2472,0.452,22.123
a_10,3058,0.323,27.863
a_10,2971,0.274,10.948
a_10,4763,0.213,9.389
a_10,1530,0.147,13.605
a_10,1929,0.177,16.949
a_10,4989,0.049,81.632
a_10,1282,0.134,447.761
a_10,1382,0.464,4.31
a_10,4797,0.216,23.148
a_10,1781,0.341,5.865
a_10,5061,0.142,28.169
a_10,2491,0.152,13.157
a_10,4952,0.054,55.555
a_10,4319,0.118,347.457
a_10,5125,1.05,3.809
a_10,3726,0.158,18.987
a_10,4821,0.149,13.422
a_10,2447,0.272,7.352
a_10,2457,0.283,10.6
a_10,3665,0.075,40.0
a_10,2144,0.335,5.97
a_10,3083,0.349,8.595
a_10,4254,0.063,47.619
a_10,1952,0.127,23.622
a_10,3979,5.225,0.765
a_10,5768,2.711,1.475
a_10,5746,0.12,25.0
a_10,171,1.698,4.711
a_10,4341,0.165,12.121
a_10,4169,0.151,264.9
a_10,362,0.132,53.03
a_10,2797,0.186,21.505
a_10,4733,0.174,11.494
a_10,5495,0.087,91.954
a_10,273,12.54,0.637
a_10,2762,0.166,30.12
a_10,2772,0.16,31.25
a_10,3017,0.133,15.037
a_10,5252,0.242,8.264
a_10,4967,0.494,319.838
a_10,1259,0.707,4.243
a_10,3456,0.171,17.543
a_10,4972,0.119,100.84
a_10,180,0.686,8.746
a_10,5180,0.327,42.813
a_10,3045,0.398,22.613
a_10,4106,0.102,39.215
a_10,3116,0.445,6.741
a_10,3313,0.138,28.985
a_10,3628,0.03,100.0
a_10,4877,0.01,300.0
a_10,2380,0.217,36.866
a_10,4082,0.069,43.478
a_10,2540,0.407,7.371
a_10,5113,0.15,26.666
a_10,2459,0.143,20.979
a_10,5685,0.091,32.967
a_10,288,0.139,50.359
a_10,2402,0.353,8.498
a_10,4655,0.105,19.047
a_10,4440,0.065,61.538
a_10,5216,0.435,6.896
a_10,293,12.164,0.657
a_10,1138,0.738,17.615
a_10,3663,0.171,17.543
a_10,3516,0.075,40.0
a_10,3312,0.361,445.983
a_10,3822,0.102,9.803
a_10,1937,0.292,10.273
a_10,5791,0.117,34.188
a_10,1191,0.26,7.692
a_10,3395,0.513,15.594
a_10,6,0.927,2.157
a_10,3911,0.182,16.483
a_10,5563,0.382,5.235
a_10,809,3.578,1.676
a_10,921,0.76,105.263
a_10,3417,0.144,27.777
a_10,4004,0.133,22.556
a_10,5484,2.502,3.197
a_10,336,0.132,53.03
a_10,3847,0.039,76.923
a_11,44,0.711,8.438
a_11,4536,0.126,23.809
a_11,2562,0.135,22.222
a_11,5124,0.521,3.838
a_11,2137,0.561,5.347
a_11,4649,0.701,8.559
a_11,4605,0.132,15.151
a_11,2700,0.165,30.303
a_11,434,12.577,0.636
a_11,5626,0.451,8.869
a_11,4403,0.068,58.823
a_11,1031,3.978,171.191
a_11,1218,0.789,25.348
a_11,1385,0.794,6.297
a_11,5552,0.135,59.259
a_11,4922,0.163,18.404
a_11,4344,5.206,0.768
a_11,3402,0.244,32.786
a_11,209,0.607,9.884
a_11,5487,0.092,97.826
a_11,3774,0.918,3.267
a_11,4998,0.039,51.282
a_11,307,0.193,36.269
a_11,4873,0.144,62.5
a_11,5596,0.255,7.843
a_11,2148,0.336,8.928
a_11,3893,0.14,28.571
a_11,3900,0.061,81.967
a_11,5368,0.089,101.123
a_11,5032,0.199,20.1
a_11,5508,0.231,8.658
a_11,1319,0.583,3.43
a_11,2333,0.195,71.794
a_11,2229,0.471,4.246
a_11,3104,0.296,10.135
a_11,4698,0.171,11.695
a_11,582,0.093,32.258
a_11,1199,0.285,7.017
a_11,2804,0.165,30.303
a_11,4535,0.066,45.454
a_11,1301,0.168,23.809
a_11,906,0.181,16.574
a_11,485,0.093,96.774
a_11,3175,0.21,14.285
a_11,3994,0.076,118.421
a_11,2161,0.365,21.917
a_11,3085,0.414,7.246
a_11,4163,0.474,6.329
a_11,4436,0.126,31.746
a_11,4050,0.069,28.985
a_11,5380,0.151,19.867
a_11,1182,0.236,12.711
a_11,4284,0.18,22.222
a_11,5220,0.141,28.368
a_11,3244,0.145,62.068
a_11,1034,0.574,3.484
a_11,4800,0.292,6.849
a_11,4271,0.068,58.823
a_11,3461,0.065,46.153
a_11,4647,0.067,44.776
a_11,4914,0.121,24.793
a_11,674,0.507,5.917
a_11,5787,0.093,43.01
a_11,3854,0.036,83.333
a_11,5185,0.347,2.881
a_11,2322,0.321,6.23
a_11,988,0.819,2.442
a_11,147,0.137,21.897
a_11,3593,0.056,53.571
a_11,2478,0.137,109.489
a_11,4116,0.064,31.25
a_11,5477,0.133,67.669
a_11,2594,0.568,3.521
a_11,3037,0.315,120.634
a_11,5638,0.044,68.181
a_11,2738,0.185,27.027
a_11,3573,0.071,42.253
a_11,1481,0.553,10.849
a_11,1984,0.312,211.538
a_11,1941,1.821,2.196
a_11,1105,0.142,21.126
a_11,3548,0.064,46.875
a_11,4559,0.175,234.285
a_11,3768,0.155,19.354
a_11,2381,0.218,36.697
a_11,3413,0.19,15.789
a_11,5319,0.194,25.773
a_11,28,0.889,3.374
a_11,2940,0.128,39.062
a_11,4627,0.183,437.158
a_11,1865,6.763,381.931
a_11,805,0.673,5.943
a_11,734,0.517,7.736
a_11,317,12.815,0.624
a_11,1753,0.41,7.317
a_11,3878,0.295,13.559
a_11,3666,0.106,28.301
a_11,4336,0.195,20.512
a_11,4641,0.212,9.433
a_11,2388,0.232,34.482
a_11,1686,0.147,34.013
a_11,2232,1.366,1.464
a_11,5504,0.225,8.888
a_11,1341,0.26,11.538
a_11,5007,0.121,16.528
a_11,2434,0.333,9.009
a_11,2278,1.22,379.508
a_11,845,1.56,233.974
a_11,1791,0.272,11.029
a_11,739,0.687,5.822
a_11,3500,0.16,12.5
a_11,3325,0.127,47.244
a_11,2164,0.53,7.547
a_11,1719,0.208,634.615
a_11,72,12.052,0.165
a_11,149,0.227,17.621
a_11,131,0.166,18.072
a_11,1560,0.659,4.552
a_12,3240,0.201,14.925
a_12,1861,0.462,6.493
a_12,3648,0.192,15.625
a_12,2339,0.556,93.525
a_12,2460,0.299,10.033
a_12,2934,0.138,36.231
a_12,2372,0.277,28.88
a_12,1001,19.439,0.154
a_12,2546,0.152,19.736
a_12,4715,0.125,32.0
a_12,5139,0.366,8.196
a_12,4242,0.063,47.619
a_12,1117,0.4,10.0
a_12,3732,0.036,83.333
a_12,399,0.146,47.945
a_12,2572,0.633,195.892
a_12,2152,0.354,8.474
a_12,3074,0.27,7.407
a_12,1893,0.446,6.726
a_12,672,1.186,2.529
a_12,309,0.13,53.846
a_12,4047,0.187,10.695
a_12,787,0.306,13.071
a_12,1621,0.178,11.235
a_12,79,0.773,5.174
a_12,292,0.137,51.094
a_12,2909,0.17,252.941
a_12,3924,0.069,101.449
a_12,5409,0.039,76.923
a_12,1586,0.773,236.739
a_12,1979,0.235,8.51
a_12,5790,0.103,38.834
a_12,1762,0.779,2.567
a_12,3165,0.279,14.336
a_12,2376,0.218,36.697
a_12,3016,0.315,9.523
a_12,4317,0.178,224.719
a_12,4796,0.041,73.17
a_12,3659,0.106,28.301
a_12,2994,0.516,7.751
a_12,4483,0.384,286.458
a_12,3445,0.162,24.691
a_12,2356,0.148,20.27
a_12,4915,0.055,236.363
a_12,4932,0.161,24.844
a_12,3707,3.559,0.842
a_12,3831,0.122,24.59
a_12,2032,0.185,16.216
a_12,905,0.175,17.142
a_12,5256,0.567,5.291
a_12,4710,0.127,15.748
a_12,5439,0.134,14.925
a_12,2279,0.346,8.67
a_12,476,0.135,66.666
a_12,2141,0.335,8.955
a_12,3951,0.123,32.52
a_12,4385,0.082,48.78
a_12,1950,0.163,18.404
a_12,2043,2.14,1.401
a_12,573,6.226,1.284
a_12,5434,0.134,37.313
a_12,1037,0.157,19.108
a_12,2022,0.257,11.673
a_12,1907,0.105,28.571
a_12,4413,0.076,39.473
a_12,1438,0.466,8.583
a_12,5134,3.916,0.766
a_12,2567,0.152,26.315
a_12,69,1.124,3.558
a_12,3929,0.044,136.363
a_12,5050,0.203,14.778
a_12,4276,0.064,62.5
a_12,700,0.617,3.241
a_12,4096,0.142,91.549
a_12,5297,0.233,17.167
a_12,3958,0.137,43.795
a_12,4467,7.035,987.633
a_12,981,0.366,8.196
a_12,3855,0.138,21.739
a_12,387,0.19,36.842
a_12,3068,0.379,5.277
a_12,234,0.703,9.957
a_12,4170,0.118,25.423
a_12,1462,0.404,29.702
a_12,2834,0.165,30.303
a_12,4240,0.125,32.0
a_12,4038,0.141,28.368
a_12,5151,0.465,10.752
a_12,388,0.187,37.433
a_12,3424,0.203,19.704
a_12,4790,0.174,22.988
a_12,5818,0.358,117.318
a_12,2346,0.367,10.899
a_12,5122,0.573,29.668
a_12,1553,0.573,5.235
a_12,2888,0.226,637.168
a_12,4309,0.154,272.727
a_12,164,0.151,19.867
a_13,910,0.299,16.722
a_13,406,0.142,49.295
a_13,381,0.189,37.037
a_13,4980,0.105,19.047
a_13,3651,0.072,41.666
a_13,2755,0.165,24.242
a_13,2212,0.155,19.354
a_13,2403,0.166,18.072
a_13,5378,0.041,170.731
a_13,5223,0.134,14.925
a_13,746,0.457,6.564
a_13,4158,0.123,89.43
a_13,2672,0.568,38.732
a_13,2744,0.165,30.303
a_13,2329,1.776,5.067
a_13,1311,0.228,17.543
a_13,212,0.258,11.627
a_13,3505,0.19,10.526
a_13,2545,0.146,20.547
a_13,732,0.558,3.584
a_13,1896,0.362,13.812
a_13,253,0.141,49.645
a_13,645,0.548,25.547
a_13,5771,0.097,41.237
a_13,1008,0.269,7.434
a_13,4011,0.076,39.473
a_13,3645,0.072,41.666
a_13,16,1.053,8.547
a_13,130,0.167,17.964
a_13,2709,0.167,29.94
a_13,1494,1.101,285.195
a_13,1408,0.718,2.785
a_13,3034,0.373,10.723
a_13,4802,0.34,11.764
a_13,96,1.509,2.65
a_13,4835,0.21,14.285
a_13,4455,0.074,54.054
a_13,2867,0.165,30.303
a_13,3968,0.12,66.666
a_13,5156,1.342,2.235
a_13,4089,0.158,18.987
a_13,4571,0.123,32.52
a_13,2105,0.784,252.551
a_13,1158,0.305,9.836
a_13,4361,0.067,44.776
a_13,1932,0.345,11.594
a_13,2667,0.311,308.681
a_13,3647,0.207,14.492
a_13,5435,0.073,27.397
a_13,4042,0.4,45.0
a_13,4862,0.17,29.411
a_13,3909,0.087,80.459
a_13,939,0.285,7.017
a_13,4379,0.126,95.238
a_13,1339,0.453,8.83
a_13,230,0.129,54.263
a_13,5675,0.235,12.765
a_13,1887,0.445,6.741
a_13,733,0.831,4.813
a_13,3024,0.245,12.244
a_13,1724,0.155,754.838
a_13,5681,0.124,24.193
a_13,398,0.201,34.825
a_13,4231,0.064,62.5
a_13,128,0.134,22.388
a_13,1272,0.189,21.164
a_13,3814,0.045,88.888
a_13,3875,0.053,113.207
a_13,5258,0.238,16.806
a_13,3604,0.042,71.428
a_13,35,0.277,10.83
a_13,4331,0.072,41.666
a_13,3868,0.069,43.478
a_13,5809,0.21,9.523
a_13,5205,3.349,0.895
a_13,1910,3.221,1.241
a_13,2588,1.118,1.788
a_13,1868,0.475,4.21
a_13,5081,0.18,11.111
a_13,5422,0.857,2.333
a_13,100,0.916,3.275
a_13,3228,0.226,26.548
a_13,5135,0.462,4.329
a_13,2990,6.779,689.334
a_13,3459,0.165,24.242
a_13,4686,0.116,17.241
a_13,2196,0.308,12.987
a_13,3683,0.138,21.739
a_13,5303,0.086,34.883
a_13,750,0.282,10.638
a_13,2079,0.055,36.363
a_13,636,0.281,868.327
a_13,2350,0.358,5.586
a_13,121,1.569,1.912
a_13,40,4.868,0.821
a_13,1622,0.387,7.751
a_13,4743,0.446,6.726
a_13,748,0.766,5.221
a_13,1387,0.302,16.556
a_13,3064,0.313,15.974
a_13,1747,0.39,7.692
a_13,5449,0.118,25.423
a_14,3360,0.062,822.58
a_14,1418,1.283,5.455
a_14,383,0.241,29.045
a_14,3874,0.376,15.957
a_14,227,0.133,52.631
a_14,4984,0.094,85.106
a_14,2949,0.169,23.668
a_14,2633,0.235,634.042
a_14,75,0.718,4.178
a_14,3137,0.45,6.666
a_14,2414,0.374,26.737
a_14,268,0.214,32.71
a_14,1493,0.357,16.806
a_14,5620,0.156,19.23
a_14,3771,0.06,50.0
a_14,3778,0.281,10.676
a_14,2711,0.17,29.411
a_14,3350,0.136,88.235
a_14,5033,0.11,36.363
a_14,4267,0.067,59.701
a_14,382,0.13,53.846
a_14,1219,0.371,10.781
a_14,3953,0.063,95.238
a_14,699,0.321,9.345
a_14,1378,0.601,292.845
a_14,4353,0.053,264.15
a_14,1413,0.329,6.079
a_14,4497,0.283,7.067
a_14,5044,0.11,54.545
a_14,4084,0.118,16.949
a_14,5056,0.128,15.625
a_14,569,0.146,13.698
a_14,315,0.149,46.979
a_14,4262,0.124,32.258
a_14,2007,0.36,11.111
a_14,900,0.175,17.142
a_14,5451,0.136,22.058
a_14,564,0.155,19.354
a_14,2481,0.138,72.463
a_14,3605,0.035,85.714
a_14,4256,0.062,48.387
a_14,1877,0.397,7.556
a_14,5145,0.3,10.0
a_14,4333,0.065,46.153
a_14,5582,0.634,9.463
a_14,481,0.094,95.744
a_14,3535,0.044,68.181
a_14,4212,0.078,76.923
a_14,1130,0.287,13.937
a_14,810,0.599,6.677
a_14,1250,0.591,5.076
a_14,690,0.562,3.558
a_14,2121,0.977,333.674
a_14,4592,0.266,11.278
a_14,1303,0.533,3.752
a_14,1336,0.51,3.921
a_14,1025,0.283,7.067
a_14,790,0.309,9.708
a_14,4569,0.036,138.888
a_14,1049,0.807,12.391
a_14,378,0.215,32.558
a_14,2359,0.863,6.952
a_14,5367,0.036,194.444
a_14,2921,0.17,17.647
a_14,2264,0.543,5.524
a_14,4539,0.092,54.347
a_14,4812,3.127,1.279
a_14,789,4.009,0.498
a_14,2784,0.166,30.12
a_14,5183,1.358,217.231
a_14,3581,0.14,21.428
a_14,788,0.601,4.991
a_14,3315,0.142,42.253
a_14,1828,0.283,10.6
a_14,1775,0.2,20.0
a_14,1705,0.163,717.791
a_14,715,0.356,11.235
a_14,4090,0.057,52.631
a_14,3168,0.216,18.518
a_14,2792,0.171,29.239
a_14,4807,0.147,27.21
a_14,3029,0.067,29.85
a_14,2551,0.43,6.976
a_14,4516,0.092,65.217
a_14,5069,0.36,655.555
a_14,2537,0.162,18.518
a_14,3912,0.181,16.574
a_14,3118,0.258,11.627
a_14,2644,0.821,92.57
a_14,1090,0.131,22.9
a_14,2502,0.15,20.0
a_14,4951,0.134,14.925
a_14,5374,15.112,0.198
a_14,1242,0.683,4.392
a_14,1501,1.273,18.067
a_14,1269,0.117,25.641
a_14,3881,0.205,14.634
a_14,3211,0.742,6.738
a_14,860,0.439,4.555
a_14,3169,0.215,27.906
a_14,979,0.628,50.955
a_14,19,0.216,13.888
a_14,4522,0.107,28.037
a_14,1750,5.166,3.677
a_14,2218,0.523,5.736
a_14,5511,0.312,6.41
a_14,2965,0.113,26.548
a_14,1552,0.558,3.584
a_14,4578,0.124,322.58
a_14,1784,0.318,6.289
a_14,5395,0.078,25.641
a_14,1500,0.167,11.976
a_14,5427,0.098,20.408
a_14,2363,1.035,2.898
a_14,5594,0.145,48.275
a_14,4035,0.119,25.21
a_14,2088,0.145,13.793
a_15,1879,0.219,13.698
a_15,183,0.421,7.125
a_15,4935,0.219,13.698
a_15,1023,0.347,11.527
a_15,5470,0.129,69.767
a_15,3713,0.877,125.427
a_15,1990,0.292,6.849
a_15,1523,0.559,1.788
a_15,3982,0.078,38.461
a_15,4108,0.079,50.632
a_15,4940,0.035,57.142
a_15,55,0.229,17.467
a_15,4330,0.097,41.237
a_15,2801,0.165,30.303
a_15,1931,0.13,23.076
a_15,1864,0.285,14.035
a_15,4446,0.088,34.09
a_15,333,0.252,27.777
a_15,706,0.487,4.106
a_15,5204,0.329,9.118
a_15,4941,0.222,18.018
a_15,3403,0.148,33.783
a_15,4604,0.072,27.777
a_15,2213,0.084,35.714
a_15,499,0.094,85.106
a_15,1524,1.165,4.291
a_15,4151,0.188,26.595
a_15,5806,0.12,175.0
a_15,2045,2.577,1.164
a_15,2151,0.334,5.988
a_15,1661,0.139,35.971
a_15,2394,0.141,21.276
a_15,1801,0.323,9.287
a_15,1978,0.243,12.345
a_15,540,0.292,10.273
a_15,4192,0.072,152.777
a_15,4771,0.666,37.537
a_15,5001,0.123,16.26
a_15,614,0.375,16.0
a_15,5437,0.093,64.516
a_15,3572,0.071,42.253
a_15,2017,0.513,97.465
a_15,759,0.795,3.773
a_15,5147,0.615,60.162
a_15,1106,0.244,16.393
a_15,4945,0.318,6.289
a_15,5101,0.165,24.242
a_15,961,0.727,456.671
a_15,641,0.237,12.658
a_15,2813,0.165,30.303
a_15,2047,0.412,9.708
a_15,4595,0.093,53.763
a_15,1911,0.647,4.636
a_15,5299,0.321,6.23
a_15,1012,0.268,7.462
a_15,395,0.187,37.433
a_15,1392,0.81,4.938
a_15,2932,0.241,16.597
a_15,5605,0.167,29.94
a_15,2879,0.318,6.289
a_15,5542,1.093,11.893
a_15,3073,0.336,11.904
a_15,1255,0.036,83.333
a_15,3815,0.042,119.047
a_15,3149,0.274,14.598
a_15,2412,0.138,36.231
a_15,2930,0.104,28.846
a_15,1513,0.164,18.292
a_15,4588,0.078,38.461
a_15,1943,0.305,9.836
a_15,2706,0.176,28.409
a_15,5149,0.366,10.928
a_15,5112,0.127,86.614
a_15,3523,0.046,65.217
a_15,2172,0.143,13.986
a_15,3026,0.212,14.15
a_15,2769,0.164,30.487
a_15,5067,0.143,20.979
a_15,5478,0.137,65.693
a_15,4381,0.173,23.121
a_15,4253,0.067,59.701
a_15,2642,0.245,12.244
a_15,461,0.183,49.18
a_15,4144,0.14,21.428
a_15,628,0.746,821.715
a_15,4706,0.461,6.507
a_15,578,0.129,15.503
a_15,3421,0.146,34.246
a_15,4640,0.322,9.316
a_15,1189,0.448,8.928
a_15,1315,8.903,678.198
a_15,1883,3.464,0.577
a_15,2497,0.548,445.255
a_15,5664,0.074,40.54
a_15,4847,0.347,8.645
a_15,5601,0.165,30.303
a_15,2538,0.58,5.172
a_15,3906,0.087,22.988
a_15,2348,0.386,5.181
a_15,1842,0.364,8.241
a_15,4020,0.09,22.222
a_15,4720,0.099,20.202
a_15,826,1.932,1.552
a_15,4295,0.1,50.0
a_15,4376,0.158,18.987
a_15,2429,0.409,7.334
a_16,4417,0.152,289.473
a_16,2844,0.445,11.235
a_16,2500,0.158,101.265
a_16,199,0.596,8.389
a_16,2227,0.555,32.432
a_16,5500,0.548,3.649
a_16,3839,17.13,0.116
a_16,3320,0.129,46.511
a_16,4168,0.139,35.971
a_16,4748,0.183,16.393
a_16,2117,0.943,24.39
a_16,2025,1.71,187.719
a_16,1715,0.191,858.638
a_16,3805,0.111,72.072
a_16,2389,0.216,37.037
a_16,2342,1.07,485.981
a_16,4738,0.158,18.987
a_16,1047,0.324,6.172
a_16,4916,0.049,40.816
a_16,1713,0.215,604.651
a_16,2456,0.16,18.75
a_16,1016,0.385,5.194
a_16,1202,0.356,5.617
a_16,1878,0.611,4.909
a_16,3899,0.108,296.296
a_16,5341,0.121,16.528
a_16,1451,0.27,22.222
a_16,5736,0.092,43.478
a_16,5531,0.166,42.168
a_16,2160,0.352,22.727
a_16,3072,0.358,11.173
a_16,3689,0.042,71.428
a_16,4786,0.136,14.705
a_16,1807,0.351,8.547
a_16,1521,0.582,3.436
a_16,5383,0.182,10.989
a_16,2560,0.539,5.565
a_16,2201,0.325,9.23
a_16,3174,0.822,9.732
a_16,1999,0.326,6.134
a_16,1895,0.57,5.263
a_16,4268,0.141,14.184
a_16,5208,0.387,10.335
a_16,2568,0.311,6.43
a_16,359,0.209,33.492
a_16,5277,0.189,15.873
a_16,5324,0.141,28.368
a_16,4633,0.167,17.964
a_16,4081,0.154,266.233
a_16,693,0.315,6.349
a_16,3336,0.136,44.117
a_16,3353,0.068,29.411
a_16,3570,0.211,109.004
a_16,1209,0.391,7.672
a_16,5072,0.192,177.083
a_16,2773,0.166,30.12
a_16,766,0.988,2.024
a_16,5515,0.23,8.695
a_16,1400,0.524,5.725
a_16,3161,1.074,3.724
a_16,1492,0.259,11.583
a_16,33,0.302,9.933
a_16,3790,0.182,43.956
a_16,5669,0.018,166.666
a_16,1326,0.635,20.472
a_16,1444,0.504,3.968
a_16,2286,0.365,8.219
a_16,3752,0.133,22.556
a_16,2962,0.126,23.809
a_16,5046,0.214,14.018
a_16,1294,0.129,465.116
a_16,3496,0.204,14.705
a_16,3233,0.598,6.688
a_16,4000,0.105,28.571
a_16,1988,1.458,6.858
a_16,2805,0.165,24.242
a_16,3950,0.055,54.545
a_16,5524,0.762,2.624
a_16,5092,0.181,22.099
a_16,1939,0.288,13.888
